Ticker,Name,Volume,Price,Change
ABBEYBDS,Abbey Mortgage Bank Plc,33658.0,2.06,0.0
ABCTRANS,Associated Bus Company,40298.0,0.74,0.0
ACADEMY,Academy Press,10233.0,1.75,0.0
ACCESSCORP,Access Holdings Plc,54479214.0,15.75,0.05
AFRINSURE,African Alliance Insurance,,0.2,
AFRIPRUD,Africa Prudential Plc,563959.0,7.0,0.5
AFROMEDIA,Afromedia Plc,,0.24,
AIICO,Aiico Insurance Plc,2303357.0,0.7,-0.01
AIRTELAFRI,Airtel Africa Plc,111600.0,1400.1,0.0
ALEX,Aluminium Extrusion Industries,,6.5,
ARBICO,Arbico Plc,,1.03,
ASOSAVINGS,Aso Savings & Loans,,0.5,
AUSTINLAZ,Austin Laz & Company,,2.03,
BAPLC,Briclinks Africa Plc,,6.25,
BERGER,Berger Paints,928.0,11.8,0.0
BETAGLAS,Beta Glass Company,1513.0,66.95,0.0
BUACEMENT,BUA Cement Plc,438987.0,105.8,0.0
BUAFOODS,BUA Foods,45231.0,202.8,0.0
CADBURY,Cadbury Nigeria,49010.0,15.0,0.0
CAP,CAP Plc,356512.0,20.15,0.15
CAPHOTEL,Capital Hotel Plc,,3.02,
CAPOIL,Capital Oil Plc,,0.2,
CAVERTON,Caverton Offshore Support Group,496400.0,1.48,0.0
CHAMPION,Champion Breweries,18426.0,3.38,0.0
CHAMS,Chams Plc,9640552.0,1.4,0.0
CHELLARAM,Chellarams Plc,76710.0,3.48,0.0
CHIPLC,Consolidated Hallmark Insurance,500.0,1.05,0.0
CILEASING,C&I Leasing Plc,80085.0,3.5,0.0
CONOIL,Conoil Plc,12716.0,80.2,0.0
CORNERST,Cornerstone Insurance Company,439542.0,1.55,-0.1
COURTVILLE,Courteville Business Solutions,208932.0,0.62,0.05
CUSTODIAN,Custodian & Allied Plc,1580869.0,7.2,0.0
CUTIX,Cutix Plc,2616821.0,2.36,0.06
CWG,Computer Warehouse Group,41279.0,8.65,0.0
DAARCOMM,Daar Communications,371780.0,0.23,0.0
DANGCEM,Dangote Cement,331364.0,310.1,0.0
DANGSUGAR,Dangote Sugar Refinery,1970946.0,58.0,0.0
DEAPCAP,Deap Capital Management & Trust,694320.0,0.27,0.02
DUNLOP,DN Tyre & Rubber Plc,,0.2,
EKOCORP,Ekocorp Plc,,5.79,
ELLAHLAKES,Ellah Lakes Plc,2156.0,3.97,0.0
ENAMELWA,Nigerian Enamelware Plc,,17.55,
ETERNA,Eterna Plc,109893.0,15.0,0.0
ETI,Ecobank Transnational Inc,237564.0,15.15,0.0
ETRANZACT,E-Tranzact International,15.0,9.0,0.0
EUNISELL,Eunisell Interlinked Plc,,3.2,
FBNH,FBN Holdings Plc,2129397.0,16.2,0.1
FCMB,FCMB Group Plc,1620351.0,5.9,0.03
FIDELITYBK,Fidelity Bank Plc,61780139.0,8.25,0.05
FIDSON,Fidson Healthcare,58418.0,15.19,0.0
FLOURMILL,Flour Mills Nigeria,663524.0,32.0,-0.4
FTNCOCOA,FTN Cocoa Processors,227610.0,1.72,0.0
GEREGU,Geregu Power Plc,8992.0,339.5,0.0
GLAXOSMITH,Glaxo Smithkline Consumer,1262988.0,11.3,0.0
GOLDBREW,Golden Guinea Breweries,100.0,3.15,0.0
GOLDINSURE,Goldlink Insurance,,0.2,
GTCO,Guaranty Trust Holding,11741078.0,34.7,-0.3
GUINEAINS,Guinea Insurance,5986967.0,0.22,0.01
GUINNESS,Guinness Nigeria,244673.0,65.0,0.0
HONYFLOUR,Honeywell Flour Mill,769277.0,3.2,0.05
IKEJAHOTEL,Ikeja Hotel Plc,111980.0,3.15,0.0
IMG,Industrial & Medical Gases,16808.0,8.5,0.0
INFINITY,Infinity Trust Mortgage Bank,,1.22,
INTBREW,International Breweries,259016.0,4.6,0.0
INTENEGINS,International Energy Insurance,,1.39,
JAIZBANK,Jaiz Bank Plc,4471992.0,1.58,0.08
JAPAULGOLD,Japaul Gold and Ventures Plc,5187264.0,0.98,0.03
JBERGER,Julius Berger Nigeria Plc,133909.0,33.0,0.0
JOHNHOLT,John Holt Plc,13075.0,1.44,0.0
JULI,Juli Plc,,0.79,
LASACO,Lasaco Assurance,88215.0,1.97,0.0
LEARNAFRCA,Learn Africa,66807.0,3.1,0.0
LINKASSURE,Linkage Assurance,82592.0,0.78,0.0
LIVESTOCK,Livestock Feeds,144665.0,1.85,0.0
LIVINGTRUST,LivingTrust Mortgage Bank,,2.71,
MANSARD,AXA Mansard Insurance,11504331.0,4.0,-0.15
MAYBAKER,May & Baker Nigeria,29780.0,5.1,0.0
MBENEFIT,Mutual Benefits Assurance,7320996.0,0.42,0.0
MCNICHOLS,McNichols Plc,27419.0,0.66,0.0
MEDVIEWAIR,Medview Airline Plc,,1.62,
MEYER,Meyer Plc,8468.0,3.04,0.0
MORISON,Morison Industries,,2.55,
MRS,MRS Oil Nigeria,88785.0,109.95,0.0
MTNN,MTN Nigeria,433828.0,250.0,0.0
MULTITREX,Multi-Trex Integrated Foods,,0.36,
MULTIVERSE,Multiverse Mining & Exploration,105050.0,2.95,0.0
NAHCO,Nigerian Aviation Handling Co.,1889165.0,24.2,0.2
NASCON,National Salt Company,605034.0,52.4,0.4
NB,Nigerian Breweries,342629.0,42.0,0.0
NCR,NCR Nigeria,2.0,3.96,0.0
NEIMETH,Neimeth International Pharma,248135.0,1.59,0.0
NEM,N.E.M. Insurance Company,74669.0,5.0,0.0
NESF,Nigeria Energy Sector Fund,,552.2,
NESTLE,Nestle Nigeria,43463.0,1025.0,0.0
NGXGROUP,Nigerian Exchange Group,102919.0,22.5,0.0
NIDF,Nigeria Infrastructure Debt Fund,41915.0,108.4,0.0
NIGERINS,Niger Insurance Company,,0.2,
NNFM,Northern Nigeria Flour Mills,64250.0,15.25,0.0
NOTORE,Notore Chemical Industries Plc,3135.0,62.5,0.0
NPFMCRFBK,NPF Microfinance Bank,45564.0,1.97,0.0
NSLTECH,Secure Electronic Technology,18285.0,0.3,0.0
OANDO,Oando Plc,6460499.0,9.05,-0.05
OKOMUOIL,Okomu Oil Palm,162959.0,263.0,0.0
OMATEK,Omatek Ventures,813801.0,0.46,0.02
PHARMDEKO,Pharma-Deko Plc,,1.83,
PREMPAINTS,Premier Paints,,10.0,
PRESCO,Presco Plc,289516.0,182.0,0.0
PRESTIGE,Prestige Assurance Company,8646.0,0.45,0.0
PZ,PZ Cussons Nigeria,393944.0,19.75,0.0
RAKUNITY,RAK Unity Petroleum Company,,0.3,
REDSTAREX,Red Star Express Plc,28148.0,2.91,0.0
REGALINS,Regency Alliance Insurance,3147900.0,0.34,-0.01
RESORTSAL,Resort Savings & Loans,,0.2,
RONCHESS,Ronchess Global Resources,,81.0,
ROYALEX,Royal Exchange,48300.0,0.47,0.0
RTBRISCOE,RT Briscoe,1101000.0,0.57,0.0
SCOA,SCOA Nigeria,,1.14,
SEPLAT,Seplat Petroleum Development Co.,193226.0,1837.0,0.0
SFSREIT,Skye Shelter Fund Plc,293.0,92.15,0.0
SKYAVN,Skyway Aviation Handling Co. Plc,2612.0,25.35,0.0
SMURFIT,Smart Products Nigeria,,0.2,
SOVRENINS,Sovereign Trust Insurance,12000.0,0.38,0.0
STACO,Standard Trust Assurance,,0.48,
STANBIC,Stanbic IBTC Holdings,92157.0,80.0,0.0
STDINSURE,Standard Alliance Insurance,,0.2,
STERLINGNG,Sterling Bank,3258839.0,3.4,0.0
SUNUASSUR,Sunu Assurances Nigeria Plc,93880.0,1.04,0.0
TANTALIZER,Tantalizers Plc,168447.0,0.29,0.0
THOMASWY,Thomas Wyatt Nigeria,376140.0,2.58,0.23
TIP,The Initiates Plc,,1.03,
TOTAL,Total Nigeria,10757.0,385.0,0.0
TOURIST,Tourist Company of Nigeria,,2.84,
TRANSCOHOT,Transcorp Hotels Plc,8524.0,44.4,0.0
TRANSCORP,Transcorp Nigeria,12916484.0,6.3,-0.13
TRANSEXPR,Trans-Nationwide Express,50.0,1.05,0.0
TRIPPLEG,Tripple Gee & Co. Plc,50790.0,2.38,0.0
UACN,UAC of Nigeria,26354.0,10.8,0.0
UBA,United Bank for Africa,28808028.0,17.5,0.25
UBN,Union Bank Nigeria,75693.0,6.95,0.0
UCAP,United Capital Plc,740706.0,16.55,-0.35
UHOMREIT,Union Homes Real Estate Inv.,10054.0,36.6,0.0
UNHOMES,Union Homes Savings & Loans,,3.02,
UNILEVER,Unilever Nigeria,1000518.0,14.05,0.8
UNIONDICON,Union Dicon Salt,,8.1,
UNITYBNK,Unity Bank,1620379.0,0.98,0.0
UNIVINSURE,Universal Insurance Company,12618588.0,0.24,0.0
UPDC,UPDC Plc,1143544.0,1.32,0.0
UPDCREIT,UPDC Real Estate Investment Trust,421732.0,3.55,0.0
UPL,University Press,123750.0,2.15,0.0
VANLEER,Greif Nigeria,,5.45,
