Ticker,Name,Volume,Price,Change,date
ABBEYBDS,Abbey Mortgage Bank Plc,33658.0,2.06,0.0,2023-10-12
ABCTRANS,Associated Bus Company,40298.0,0.74,0.0,2023-10-12
ACADEMY,Academy Press,10233.0,1.75,0.0,2023-10-12
ACCESSCORP,Access Holdings Plc,54479214.0,15.75,0.05,2023-10-12
AFRINSURE,African Alliance Insurance,2577632.5833333335,0.2,,2023-10-12
AFRIPRUD,Africa Prudential Plc,563959.0,7.0,0.5,2023-10-12
AFROMEDIA,Afromedia Plc,2577632.5833333335,0.24,,2023-10-12
AIICO,Aiico Insurance Plc,2303357.0,0.7,-0.01,2023-10-12
AIRTELAFRI,Airtel Africa Plc,111600.0,1400.1,0.0,2023-10-12
ALEX,Aluminium Extrusion Industries,2577632.5833333335,6.5,,2023-10-12
ARBICO,Arbico Plc,2577632.5833333335,1.03,,2023-10-12
ASOSAVINGS,Aso Savings & Loans,2577632.5833333335,0.5,,2023-10-12
AUSTINLAZ,Austin Laz & Company,2577632.5833333335,2.03,,2023-10-12
BAPLC,Briclinks Africa Plc,2577632.5833333335,6.25,,2023-10-12
BERGER,Berger Paints,928.0,11.8,0.0,2023-10-12
BETAGLAS,Beta Glass Company,1513.0,66.95,0.0,2023-10-12
BUACEMENT,BUA Cement Plc,438987.0,105.8,0.0,2023-10-12
BUAFOODS,BUA Foods,45231.0,202.8,0.0,2023-10-12
CADBURY,Cadbury Nigeria,49010.0,15.0,0.0,2023-10-12
CAP,CAP Plc,356512.0,20.15,0.15,2023-10-12
CAPHOTEL,Capital Hotel Plc,2577632.5833333335,3.02,,2023-10-12
CAPOIL,Capital Oil Plc,2577632.5833333335,0.2,,2023-10-12
CAVERTON,Caverton Offshore Support Group,496400.0,1.48,0.0,2023-10-12
CHAMPION,Champion Breweries,18426.0,3.38,0.0,2023-10-12
CHAMS,Chams Plc,9640552.0,1.4,0.0,2023-10-12
CHELLARAM,Chellarams Plc,76710.0,3.48,0.0,2023-10-12
CHIPLC,Consolidated Hallmark Insurance,500.0,1.05,0.0,2023-10-12
CILEASING,C&I Leasing Plc,80085.0,3.5,0.0,2023-10-12
CONOIL,Conoil Plc,12716.0,80.2,0.0,2023-10-12
